"rawDay","Day","P_INFA","INFA_mean_pgperml"
0.177805634,0,3512.016184,1.77001963628
0.078841459,0,28.02308856,1.77001963628
4.12911526,4,205.7408728,8.6273433851
4.106023619,4,666.4656836,8.6273433851
4.109322425,4,782.9111462,8.6273433851
4.14593917,4,4677.216408,8.6273433851
4.210595764,4,10982.65305,8.6273433851
4.186844362,4,34449.07315,8.6273433851
5.06762552,5,162.083227,6.23830682333333
5.173517187,5,2848.665263,6.23830682333333
5.255657452,5,15704.17198,6.23830682333333
6.197466517,6,1453.339988,3.75533192638333
6.189219503,6,97.16962215,3.75533192638333
6.142046579,6,9715.486169,3.75533192638333
7.122121792,7,582.1823685,1.46171559306667
7.159398298,7,3591.87301,1.46171559306667
7.101339315,7,211.0914007,1.46171559306667
8.168503002,8,8878.522521,9.411159699275
8.176090255,8,12858.50485,9.411159699275
8.196212971,8,34339.34787,9.411159699275
8.036880649,8,143.8622417,9.411159699275
8.135844824,8,180.2965152,9.411159699275
8.068219305,8,66.42419775,9.411159699275
9.189483407,9,391.8549062,1.0719207301518
9.237316092,9,4047.41933,1.0719207301518
9.204987794,9,835.2534954,1.0719207301518
9.204657914,9,82.19110768,1.0719207301518
9.088869829,9,2.884811479,1.0719207301518
10.12370522,10,250.3961787,1.100563821925
10.16428053,10,1814.781342,1.100563821925
10.15669328,10,1253.067694,1.100563821925
10.15372435,10,1084.010073,1.100563821925
11.01636208,11,21.03551219,0.1105173618325
11.16744738,11,33.57079314,0.1105173618325
11.0770601,11,40.7147029,0.1105173618325
11.21528007,11,346.7484391,0.1105173618325
12.21415847,12,5202.795097,1.3867129967475
12.06736162,12,40.19234079,1.3867129967475
12.18380946,12,118.2599341,1.3867129967475
12.14587319,12,185.6046151,1.3867129967475
13.04743683,13,2.408450977,0.002408450977
14.09051923,14,312.6689674,0.0993789631065
14.14824833,14,52.35302048,0.0993789631065
14.08919971,14,29.31641804,0.0993789631065
14.09084911,14,3.177446506,0.0993789631065
15.14679686,15,772.9839604,0.2415974756625
15.15240483,15,101.6387802,0.2415974756625
15.09962394,15,77.2866541,0.2415974756625
15.06531636,15,14.48050795,0.2415974756625
16.15095335,16,150.0680308,0.1500680308
17.0709903,17,47.98123831,0.04798123831
20.09269644,20,55.1114288,0.0551114288
23.20973807,23,66.45447727,0.06645447727
24.14330013,24,41.11873238,0.04111873238
28.1345253,28,16.90493321,0.01690493321
29.08952959,29,29.79232344,0.02979232344
30.11743749,30,18.43961282,0.01843961282
32.05878472,32,26.44314599,0.02644314599
34.16672165,34,12.89959192,0.01289959192
37.06637197,37,38.296836,0.038296836
