x,y,Rx,RxI,yP
5.899822424,30.37352275,6,11.5,1341581.434
7.907660278,31.274876,8,13.5,879867.2539
9.93815443,34.78170351,10,15.5,170472.8038
11.91476333,32.09172739,12,17.5,600333.0588
13.94770682,35.88022779,14,19.5,101948.3602
15.94758435,35.86614414,16,21.5,102622.5361
17.85806136,35.57099994,18,23.5,117823.1824
19.95958606,37.24634131,20,25.5,53792.02826
21.97232258,38.71104035,22,27.5,27103.04633
23.88831057,39.04966016,24,29.5,23130.96196
25.95738167,36.99283571,26,31.5,60567.95178
27.95664687,36.90833384,28,33.5,63011.21829
31.95640193,36.88016655,32,37.5,63847.34949
35.96595432,37.97869083,36,41.5,38182.82119
40.05143592,37.80907477,40,45.5,41337.33253
43.89382157,39.68342416,44,49.5,17194.17235
