"time","L","M","H"
0.5,383.259947170823,699.535805243249,1024.79994677321
1,420.991476374971,814.133233611939,1178.98826900622
1.5,501.417063033794,787.315981379038,1027.44101290434
2,926.999902384731,1596.91041630613,2083.81156094967
2.25,102.944993546663,192.279096818772,422.328700969287
2.5,90.6981271527875,123.964311321031,251.084182821102
2.75,83.6935347430066,101.887063619615,234.389456336233
3,91.8697144076071,117.143977315403,257.281492956041
3.5,72.9858610348876,82.8943820132438,192.903145013117
4,51.6468535971075,57.9809256794901,149.742626421599
5,29.7122596331551,33.3569963683294,79.4495278344101
6,27.471829718576,27.471829718576,66.9610506406968
8,31.3616984627159,32.8473302804282,34.4033378113827
10,2.44395046071045,8.62603331510865,14.6888187105382
12,5.65063336030216,5.98718609627384,6.27094858699853
