x,y,Rx,RxI,y90
2.995423014,15.89787599,1.5,8.5,1430.808839
5.997210899,9.103911893,4.5,11.5,819.3520704
8.993563613,22.96359866,7.5,14.5,2066.723879
11.99663878,11.2779804,10.5,17.5,1015.018236
15.02345705,9.368518916,13.5,20.5,843.1667024
18.02267039,12.35786312,16.5,23.5,1112.207681
2.990846027,33.29042409,1.5,8.5,2996.138168
2.999856969,-0.951154974,1.5,8.5,-85.60394766
5.974612029,-5.020381892,4.5,11.5,-451.8343703
5.993349067,23.77887435,4.5,11.5,2140.098692
9.014160051,44.69713223,7.5,14.5,4022.741901
9.02603161,-0.414789387,7.5,14.5,-37.33104483
11.99249088,27.03997712,10.5,17.5,2433.597941
12.00050061,-3.39698205,10.5,17.5,-305.7283845
15.02131159,17.52127583,13.5,20.5,1576.914825
15.02531646,2.302796253,13.5,20.5,207.2516628
17.9912036,31.93163127,16.5,23.5,2873.846814
18.00121576,-6.114567689,16.5,23.5,-550.311092
