day,min,opt,max
0,0.005154639,0.005154639,0.005154639
1,0.005154639,0.005154639,0.005154639
2,0.005154639,0.012886598,0.020618557
3,0.010309278,0.015463918,0.020618557
4,0.007731959,0.020618557,0.033505155
5,0.005154639,0.020618557,0.036082474
6,0.005154639,0.028350515,0.046391753
7,0.00257732,0.030927835,0.059278351
8,0.007731959,0.038659794,0.067010309
9,0.028350515,0.069587629,0.103092784
10,0.054123711,0.103092784,0.152061856
11,0.059278351,0.113402062,0.157216495
12,0.06443299,0.121134021,0.170103093
13,0.077319588,0.134020619,0.190721649
14,0.097938144,0.162371134,0.221649485
15,0.110824742,0.180412371,0.242268041
16,0.136597938,0.208762887,0.275773196
17,0.139175258,0.219072165,0.283505155
18,0.164948454,0.24742268,0.319587629
19,0.18814433,0.278350515,0.350515464
20,0.208762887,0.296391753,0.37628866
21,0.237113402,0.329896907,0.412371134
22,0.288659794,0.391752577,0.474226804
23,0.327319588,0.430412371,0.515463918
24,0.327319588,0.430412371,0.515463918
25,0.345360825,0.453608247,0.543814433
26,0.360824742,0.469072165,0.559278351
27,0.360824742,0.471649485,0.56185567
28,0.371134021,0.484536082,0.574742268
29,0.386597938,0.5,0.592783505
